"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.00000 0.0000 0.0000
0.00018 0.5322 0.5428
0.00037 0.5386 0.5518
0.00055 0.5344 0.5567
0.00074 0.5673 0.5818
0.00092 0.5886 0.6015
0.00111 0.5921 0.6073
0.00129 0.6260 0.5886
0.00148 0.6202 0.6360
0.00166 0.6608 0.6073
0.00185 0.6363 0.6521
0.00203 0.6366 0.6544
0.00222 0.6576 0.6750
0.00240 0.6556 0.6737
0.00259 0.6424 0.6060
0.00277 0.5235 0.5454
0.00296 0.5090 0.5425
0.00314 0.5373 0.5612
0.00333 0.5064 0.5325
0.00351 0.6701 0.6992
0.00370 0.5080 0.5361
0.00388 0.5151 0.5370
0.00407 0.5457 0.5622
0.00425 0.5054 0.5338
0.00444 0.5245 0.5428
0.00462 0.5235 0.5460
0.00481 0.5032 0.5325
0.00499 0.5216 0.5451
0.00518 0.5299 0.5473
0.00536 0.5299 0.5544
0.00555 0.5099 0.5473
0.00573 0.5303 0.5670
0.00592 0.5248 0.5428
0.00610 0.5003 0.5370
0.00629 0.5083 0.5473
0.00647 0.5325 0.5496
0.00666 0.5183 0.5577
0.00684 0.5074 0.5370
0.00703 0.5161 0.5544
0.00721 0.5232 0.5599
0.00740 0.5099 0.5499
0.00758 0.5338 0.5702
0.00777 0.7230 0.7256
0.00795 0.5151 0.5522
0.00814 0.5232 0.5622
0.00832 0.5116 0.5486
0.00851 0.5212 0.5589
0.00869 0.5390 0.5577
0.00888 0.5074 0.5451
0.00906 0.5344 0.5738
0.00925 0.5335 0.5705
0.00943 0.5148 0.5464
0.00962 0.5228 0.5622
0.00980 0.5254 0.5635
0.00999 0.5609 0.5992
0.01017 0.5770 0.6015
0.01036 0.5518 0.5725
0.01054 0.5203 0.5580
0.01072 0.5054 0.5428
0.01091 0.5825 0.6025
0.01109 0.5489 0.5863
0.01128 0.5493 0.5902
0.01146 0.5132 0.5518
0.01165 0.6921 0.7211
0.01183 0.5441 0.5863
0.01202 0.5290 0.5670
0.01220 0.5096 0.5473
0.01239 0.5245 0.5635
0.01257 0.7133 0.7336
0.01276 0.5515 0.5889
0.01294 0.7162 0.7359
0.01313 0.5141 0.5531
0.01331 0.7237 0.7443
0.01350 0.5944 0.6311
0.01368 0.6008 0.6337
0.01387 0.7185 0.7382
0.01405 0.5489 0.5876
0.01424 0.5419 0.5796
0.01442 0.5725 0.5947
0.01461 0.5183 0.5554
0.01479 0.5254 0.5657
0.01498 0.5277 0.5670
0.01516 0.7504 0.7533
0.01535 0.5348 0.5738
0.01553 0.5967 0.6289
0.01572 0.5934 0.6315
0.01590 0.5947 0.6324
0.01609 0.5254 0.5647
0.01627 0.5367 0.5760
0.01646 0.5406 0.5796
0.01664 0.5428 0.5818
0.01683 0.5635 0.6050
0.01701 0.7314 0.7533
0.01720 0.5715 0.6128
0.01738 0.5393 0.5786
0.01757 0.5422 0.5828
0.01775 0.7353 0.7556
0.01794 0.5912 0.5693
0.01812 0.5838 0.6257
0.01831 0.5467 0.5854
0.01849 0.5286 0.5693
0.01868 0.5631 0.6025
0.01886 0.5908 0.5602
0.01905 0.5764 0.6083
0.01923 0.7053 0.7336
0.01942 0.7565 0.7636
0.01960 0.5576 0.5970
0.01979 0.5854 0.6276
0.01997 0.6021 0.6431
0.02016 0.5547 0.5957
0.02034 0.5831 0.6221
0.02053 0.5618 0.6037
0.02071 0.5599 0.6002
0.02089 0.6112 0.5970
0.02108 0.7288 0.7611
0.02126 0.6189 0.6566
0.02145 0.5989 0.6350
0.02163 0.7072 0.7346
0.02182 0.7027 0.7385
0.02200 0.6147 0.6566
0.02219 0.5979 0.5783
0.02237 0.7449 0.7730
0.02256 0.5525 0.5944
0.02274 0.5412 0.5818
0.02293 0.6315 0.6660
0.02311 0.6221 0.6624
0.02330 0.5950 0.6347
0.02348 0.5731 0.6154
0.02367 0.6025 0.6463
0.02385 0.5338 0.5773
0.02404 0.6070 0.6427
0.02422 0.5799 0.6221
0.02441 0.6150 0.6544
0.02459 0.5373 0.5809
0.02478 0.5751 0.6150
0.02496 0.7565 0.7856
0.02515 0.7807 0.7901
0.02533 0.5325 0.5738
0.02552 0.5412 0.5831
0.02570 0.5548 0.5979
0.02589 0.6144 0.6047
0.02607 0.6137 0.6063
0.02626 0.7362 0.7704
0.02644 0.7440 0.7749
0.02663 0.5818 0.6247
0.02681 0.7556 0.7852
0.02700 0.6698 0.7085
0.02718 0.5889 0.6302
0.02737 0.6073 0.6486
0.02755 0.5396 0.5818
0.02774 0.6408 0.6821
0.02792 0.5419 0.5841
0.02811 0.5460 0.5889
0.02829 0.7233 0.7601
0.02848 0.6221 0.6624
0.02866 0.5818 0.6244
0.02885 0.6031 0.6440
0.02903 0.5751 0.6163
0.02922 0.7469 0.7807
0.02940 0.6083 0.5625
0.02959 0.5925 0.6337
0.02977 0.7362 0.7611
0.02996 0.6386 0.6821
0.03014 0.7649 0.7946
0.03033 0.7749 0.7968
0.03051 0.6450 0.6856
0.03070 0.6476 0.6888
0.03088 0.6595 0.6334
0.03107 0.6099 0.6521
0.03125 0.6776 0.7108
0.03143 0.6250 0.6660
0.03162 0.6166 0.6634
0.03180 0.6676 0.6382
0.03199 0.6247 0.6660
0.03217 0.6792 0.6415
0.03236 0.6779 0.6959
0.03254 0.7530 0.7865
0.03273 0.6070 0.5599
0.03291 0.6208 0.6672
0.03310 0.6495 0.6934
0.03328 0.7014 0.7404
0.03347 0.6321 0.6705
0.03365 0.6756 0.6463
0.03384 0.6753 0.6727
0.03402 0.8007 0.8107
0.03421 0.6170 0.6592
0.03439 0.7369 0.7714
0.03458 0.6357 0.6785
0.03476 0.6070 0.5602
0.03495 0.6553 0.6992
0.03513 0.7507 0.7865
0.03532 0.6076 0.6498
0.03550 0.6834 0.7175
0.03569 0.6089 0.5635
0.03587 0.6811 0.6521
0.03606 0.7227 0.7614
0.03624 0.6444 0.6863
0.03643 0.7578 0.7453
0.03661 0.6315 0.6773
0.03680 0.6102 0.5647
0.03698 0.7594 0.7936
0.03717 0.6389 0.6831
0.03735 0.7091 0.6898
0.03754 0.5734 0.6166
0.03772 0.6102 0.5657
0.03791 0.5834 0.6266
0.03809 0.6585 0.6982
0.03828 0.6888 0.7243
0.03846 0.5983 0.6418
0.03865 0.7807 0.8107
0.03883 0.6514 0.6888
0.03902 0.7517 0.7878
0.03920 0.7523 0.7888
0.03939 0.6499 0.6866
0.03957 0.7726 0.8049
0.03976 0.6682 0.6534
0.03994 0.6411 0.6876
0.04013 0.7546 0.7878
0.04031 0.6131 0.5957
0.04050 0.7801 0.8129
0.04068 0.6370 0.6785
0.04087 0.7214 0.7543
0.04105 0.6540 0.6992
0.04124 0.5970 0.5647
0.04142 0.6740 0.7166
0.04161 0.6179 0.6002
0.04179 0.7459 0.7820
0.04197 0.6273 0.6714
0.04216 0.6943 0.6937
0.04234 0.6592 0.7037
0.04253 0.6189 0.5944
0.04271 0.6166 0.5718
0.04290 0.6798 0.7233
0.04308 0.7868 0.8187
0.04327 0.6340 0.6002
0.04345 0.7356 0.7740
0.04364 0.5957 0.5635
0.04382 0.6308 0.6750
0.04401 0.6273 0.6176
0.04419 0.6763 0.7188
0.04438 0.7282 0.7691
0.04456 0.7804 0.8133
0.04475 0.6553 0.6992
0.04493 0.6457 0.6096
0.04512 0.6801 0.7220
0.04530 0.7807 0.8152
0.04549 0.6621 0.7072
0.04567 0.7282 0.7685
0.04586 0.6373 0.6840
0.04604 0.6266 0.5992
0.04623 0.6650 0.6634
0.04641 0.6727 0.7108
0.04660 0.6698 0.7153
0.04678 0.6302 0.6257
0.04697 0.6237 0.6154
0.04715 0.6099 0.6531
0.04734 0.7514 0.7888
0.04752 0.6930 0.7349
0.04771 0.7240 0.7659
0.04789 0.6917 0.7314
0.04808 0.6840 0.7314
0.04826 0.7423 0.7797
0.04845 0.6202 0.6118
0.04863 0.7959 0.8291
0.04882 0.6747 0.7211
0.04900 0.7217 0.7198
0.04919 0.6253 0.6131
0.04937 0.8075 0.8349
0.04956 0.6518 0.6186
0.04974 0.6038 0.5715
0.04993 0.6479 0.6924
0.05011 0.8100 0.8349
0.05030 0.7259 0.7694
0.05048 0.6283 0.6727
0.05067 0.7627 0.8059
0.05085 0.6360 0.6153
0.05104 0.7575 0.7946
0.05122 0.7930 0.8281
0.05141 0.6956 0.7382
0.05159 0.7453 0.7868
0.05178 0.6895 0.7324
0.05196 0.6785 0.7246
0.05214 0.7423 0.7336
0.05233 0.6856 0.7291
0.05251 0.6937 0.7266
0.05270 0.8075 0.8384
0.05288 0.6627 0.7014
0.05307 0.6856 0.6856
0.05325 0.6531 0.6979
0.05344 0.6811 0.7256
0.05362 0.6895 0.7282
0.05381 0.7688 0.8049
0.05399 0.6869 0.7324
0.05418 0.6456 0.6959
0.05436 0.6395 0.6360
0.05455 0.6508 0.6979
0.05473 0.7140 0.7569
0.05492 0.7027 0.7449
0.05510 0.7333 0.7636
0.05529 0.7037 0.7466
0.05547 0.7517 0.7794
0.05566 0.6121 0.6566
0.05584 0.7868 0.8339
0.05603 0.7456 0.7749
0.05621 0.7079 0.7523
0.05640 0.7317 0.7623
0.05658 0.6353 0.6808
0.05677 0.6605 0.7085
0.05695 0.6943 0.7404
0.05714 0.6576 0.6463
0.05732 0.7101 0.7440
0.05751 0.7852 0.8213
0.05769 0.7465 0.7888
0.05788 0.6718 0.7162
0.05806 0.7146 0.7614
0.05825 0.7043 0.7050
0.05843 0.6199 0.6669
0.05862 0.6911 0.7362
0.05880 0.6495 0.6956
0.05899 0.8133 0.8474
0.05917 0.7623 0.7878
0.05936 0.6692 0.7175
0.05954 0.7130 0.7005
0.05973 0.7162 0.7588
0.05991 0.7159 0.7627
0.06010 0.6054 0.6521
0.06028 0.8155 0.8510
0.06047 0.7523 0.7852
0.06065 0.7266 0.7533
0.06084 0.7037 0.7578
0.06102 0.8155 0.8510
0.06121 0.7088 0.7565
0.06139 0.7514 0.7810
0.06158 0.6985 0.7543
0.06176 0.6950 0.6982
0.06195 0.7166 0.7601
0.06213 0.8300 0.8613
0.06232 0.7182 0.7198
0.06250 0.7359 0.7314
0.06268 0.7146 0.7546
0.06287 0.7291 0.7749
0.06305 0.8271 0.8603
0.06324 0.8088 0.8462
0.06342 0.7897 0.8348
0.06361 0.7988 0.8362
0.06379 0.6998 0.7556
0.06398 0.7688 0.7565
0.06416 0.7108 0.7569
0.06435 0.7362 0.7820
0.06453 0.7330 0.7175
0.06472 0.7362 0.7807
0.06490 0.8316 0.8661
0.06509 0.7227 0.7095
0.06527 0.7291 0.7749
0.06546 0.7862 0.8271
0.06564 0.7192 0.7153
0.06583 0.7107 0.7565
0.06601 0.7201 0.7211
0.06620 0.7182 0.7636
0.06638 0.6060 0.6543
0.06657 0.7082 0.7543
0.06675 0.7088 0.7556
0.06694 0.7130 0.7591
0.06712 0.7333 0.7185
0.06731 0.6376 0.6843
0.06749 0.7076 0.7543
0.06768 0.7440 0.7762
0.06786 0.7485 0.7788
0.06805 0.8288 0.8658
0.06823 0.7169 0.7059
0.06842 0.7468 0.7797
0.06860 0.6241 0.6705
0.06879 0.7507 0.7820
0.06897 0.7085 0.7659
0.06916 0.7204 0.7659
0.06934 0.7236 0.7681
0.06953 0.7088 0.7569
0.06971 0.7095 0.7543
0.06990 0.7085 0.7117
0.07008 0.7159 0.7627
0.07027 0.7188 0.7646
0.07045 0.7398 0.7730
0.07064 0.7943 0.7714
0.07082 0.7017 0.7604
0.07101 0.8484 0.8726
0.07119 0.7085 0.7556
0.07138 0.7020 0.7130
0.07156 0.7320 0.7798
0.07175 0.7720 0.8026
0.07193 0.8481 0.8738
0.07212 0.7195 0.7649
0.07230 0.7140 0.7614
0.07249 0.7072 0.7543
0.07267 0.7514 0.7968
0.07286 0.7104 0.7556
0.07304 0.7182 0.7659
0.07322 0.7227 0.6911
0.07341 0.7127 0.7601
0.07359 0.7046 0.7627
0.07378 0.8378 0.8739
0.07396 0.7623 0.7900
0.07415 0.7246 0.7256
0.07433 0.7175 0.7659
0.07452 0.7088 0.7556
0.07470 0.7156 0.7623
0.07489 0.7672 0.7855
0.07507 0.7198 0.7694
0.07526 0.7163 0.7623
0.07544 0.7343 0.7784
0.07563 0.7591 0.8026
0.07581 0.7369 0.7762
0.07600 0.7149 0.7614
0.07618 0.7085 0.7556
0.07637 0.7114 0.7591
0.07655 0.7150 0.7611
0.07674 0.8420 0.8765
0.07692 0.7917 0.8210
0.07711 0.8378 0.8739
0.07729 0.7346 0.7649
0.07748 0.7717 0.8039
0.07766 0.7411 0.7427
0.07785 0.7127 0.7601
0.07803 0.7182 0.7659
0.07822 0.7904 0.8259
0.07840 0.7101 0.7578
0.07859 0.7230 0.6924
0.07877 0.7894 0.8336
0.07896 0.8400 0.8742
0.07914 0.7517 0.7498
0.07933 0.7640 0.7923
0.07951 0.8829 0.8658
0.07970 0.7105 0.7578
0.07988 0.6524 0.7014
0.08007 0.7488 0.7820
0.08025 0.7611 0.7798
0.08044 0.8558 0.8832
0.08062 0.7346 0.7359
0.08081 0.7095 0.7578
0.08099 0.8158 0.8581
0.08118 0.7350 0.7794
0.08136 0.7108 0.7604
0.08155 0.7178 0.7739
0.08173 0.7272 0.7391
0.08192 0.7526 0.7846
0.08210 0.7520 0.7968
0.08229 0.7034 0.7072
0.08247 0.7494 0.7829
0.08266 0.7717 0.7856
0.08284 0.7372 0.7337
0.08303 0.7459 0.7752
0.08321 0.8484 0.8832
0.08339 0.7085 0.7556
0.08358 0.7223 0.7140
0.08376 0.7698 0.7991
0.08395 0.8136 0.8535
0.08413 0.7140 0.7611
0.08432 0.7540 0.8017
0.08450 0.7597 0.7946
0.08469 0.8526 0.8855
0.08487 0.7092 0.7578
0.08506 0.6543 0.7027
0.08524 0.7449 0.7404
0.08543 0.7108 0.7604
0.08561 0.7201 0.7762
0.08580 0.7665 0.7646
0.08598 0.7272 0.7730
0.08617 0.7211 0.7785
0.08635 0.8265 0.8658
0.08654 0.7501 0.7971
0.08672 0.7627 0.7427
0.08691 0.7659 0.7556
0.08709 0.7620 0.7659
0.08728 0.7453 0.7914
0.08746 0.7381 0.7369
0.08765 0.7427 0.7798
0.08783 0.7105 0.7601
0.08802 0.7130 0.7614
0.08820 0.8217 0.8613
0.08839 0.7117 0.7591
0.08857 0.7343 0.7659
0.08876 0.7633 0.7959
0.08894 0.7923 0.8358
0.08913 0.8996 0.8774
0.08931 0.7143 0.7627
0.08950 0.8223 0.8613
0.08968 0.7491 0.7830
0.08987 0.7204 0.7601
0.09005 0.7630 0.7165
0.09024 0.7172 0.7659
0.09042 0.7437 0.7901
0.09061 0.7581 0.7968
0.09079 0.7578 0.7601
0.09098 0.7636 0.7994
0.09116 0.7343 0.7726
0.09135 0.7163 0.7659
0.09153 0.7369 0.7717
0.09172 0.8932 0.8765
0.09190 0.7482 0.7807
0.09209 0.7694 0.8004
0.09227 0.8533 0.8890
0.09246 0.7198 0.7611
0.09264 0.7394 0.7672
0.09283 0.7553 0.7888
0.09301 0.7223 0.7591
0.09320 0.7372 0.7659
0.09338 0.7536 0.7511
0.09357 0.7365 0.7646
0.09375 0.7820 0.8120
0.09393 0.7607 0.7588
0.09412 0.7407 0.7672
0.09430 0.7885 0.8336
0.09449 0.7166 0.7659
0.09467 0.7765 0.8107
0.09486 0.7527 0.7868
0.09504 0.7900 0.8187
0.09523 0.7356 0.7669
0.09541 0.7556 0.8004
0.09560 0.7175 0.7672
0.09578 0.8520 0.8890
0.09597 0.7930 0.7888
0.09615 0.7317 0.7807
0.09634 0.7562 0.7188
0.09652 0.7104 0.7591
0.09671 0.7991 0.8349
